job_id,job_title,category,skills,description,experience_level,education
1,Software Developer,IT,"python,java,sql,git,github","Develop software applications, debug programs and maintain software systems.",Entry Level,Bachelor's Degree
2,Frontend Developer,IT,"html,css,javascript,react,git",Develop responsive and interactive web interfaces.,Entry Level,Bachelor's Degree
3,Backend Developer,IT,"python,node.js,express,mongodb,rest api","Develop backend services, APIs and database applications.",Entry Level,Bachelor's Degree
4,Full Stack Developer,IT,"html,css,javascript,react,node.js,mongodb",Develop complete web applications covering frontend and backend systems.,Entry Level,Bachelor's Degree
5,Python Developer,IT,"python,sql,django,flask,git",Develop applications and backend services using Python.,Entry Level,Bachelor's Degree
6,Java Developer,IT,"java,spring boot,sql,rest api,git",Develop enterprise applications using Java and Spring Boot.,Entry Level,Bachelor's Degree
7,React Developer,IT,"javascript,react,html,css,git",Build modern web interfaces using React.,Entry Level,Bachelor's Degree
8,Node.js Developer,IT,"node.js,express,javascript,mongodb,rest api",Develop scalable backend applications using Node.js.,Entry Level,Bachelor's Degree
9,Web Developer,IT,"html,css,javascript,git,github",Design and develop responsive websites.,Entry Level,Bachelor's Degree
10,Mobile App Developer,IT,"javascript,react,sql,git,rest api",Develop mobile applications and integrate APIs.,Entry Level,Bachelor's Degree
11,API Developer,IT,"python,rest api,node.js,sql,git",Design and develop REST APIs and backend services.,Entry Level,Bachelor's Degree
12,Application Developer,IT,"python,java,sql,git,github",Develop and maintain business applications.,Entry Level,Bachelor's Degree
13,Software Engineer,IT,"python,java,sql,git,github","Design, develop and test software solutions.",Entry Level,Bachelor's Degree
14,QA Engineer,IT,"python,sql,testing,selenium,git",Test applications and identify software defects.,Entry Level,Bachelor's Degree
15,Automation Test Engineer,IT,"python,selenium,testing,git,sql",Develop automated software testing solutions.,Entry Level,Bachelor's Degree
16,Software Tester,IT,"testing,python,sql,git,java",Perform software testing and quality assurance.,Entry Level,Bachelor's Degree
17,Machine Learning Engineer,AI & ML,"python,machine learning,scikit-learn,tensorflow,sql",Build and deploy machine learning models.,Entry Level,Bachelor's Degree
18,AI Engineer,AI & ML,"python,artificial intelligence,machine learning,tensorflow,git",Develop artificial intelligence applications.,Entry Level,Bachelor's Degree
19,Data Scientist,AI & ML,"python,sql,machine learning,pandas,statistics",Analyze data and develop predictive machine learning models.,Entry Level,Bachelor's Degree
